antecedent,consequent,support,confidence,lift
['newspapers'],['yogurt'],0.0028737552629820224,0.07388316151202749,0.8603219810929708
['yogurt'],['newspapers'],0.0028737552629820224,0.03346303501945525,0.8603219810929706
['soda'],['berries'],0.0014702933903628951,0.015141087405368204,0.6949573338850443
['berries'],['soda'],0.0014702933903628951,0.06748466257668712,0.6949573338850443
['pot_plants'],['other_vegetables'],0.0010024727661565194,0.1282051282051282,1.0499908775770843
['pip_fruit'],['canned_beer'],0.001603956425850431,0.0326975476839237,0.6969421737814108
['canned_beer'],['pip_fruit'],0.001603956425850431,0.03418803418803419,0.6969421737814109
['whole_milk'],['pastry'],0.006482657221145492,0.04104951333051206,0.7935708888429612
['pastry'],['whole_milk'],0.006482657221145492,0.12532299741602068,0.7935708888429613
['beef'],['brown_bread'],0.0015371249081066632,0.045275590551181105,1.2033013524286376
['brown_bread'],['beef'],0.0015371249081066632,0.04085257548845471,1.2033013524286376
['frozen_vegetables'],['canned_beer'],0.0013366303548753592,0.0477326968973747,1.0174135949792273
['canned_beer'],['frozen_vegetables'],0.0013366303548753592,0.02849002849002849,1.0174135949792273
['pastry'],['pip_fruit'],0.002205440085544343,0.04263565891472868,0.8691517225355384
['pip_fruit'],['pastry'],0.002205440085544343,0.04495912806539509,0.8691517225355385
['whole_milk'],['salty_snack'],0.0019381140145692708,0.012272534913245875,0.6535015655049752
['salty_snack'],['whole_milk'],0.0019381140145692708,0.10320284697508897,0.6535015655049752
['chocolate'],['other_vegetables'],0.001871282496825503,0.07932011331444759,0.6496260840306948
['other_vegetables'],['chocolate'],0.001871282496825503,0.01532567049808429,0.6496260840306948
['citrus_fruit'],['canned_beer'],0.0015371249081066632,0.028930817610062894,0.6166550197996739
['canned_beer'],['citrus_fruit'],0.0015371249081066632,0.03276353276353276,0.6166550197996739
['salty_snack'],['other_vegetables'],0.002205440085544343,0.11743772241992882,0.9618065903499698
['other_vegetables'],['salty_snack'],0.002205440085544343,0.0180623973727422,0.96180659034997
['soda'],['meat'],0.0010024727661565194,0.01032346868547832,0.612976436273064
['meat'],['soda'],0.0010024727661565194,0.05952380952380952,0.612976436273064
['cream_cheese_'],['rolls/buns'],0.001871282496825503,0.07909604519774012,0.7190243768492014
['rolls/buns'],['cream_cheese_'],0.001871282496825503,0.01701093560145808,0.7190243768492013
['citrus_fruit'],['bottled_water'],0.0026064291920069507,0.04905660377358491,0.808407447427479
['bottled_water'],['citrus_fruit'],0.0026064291920069507,0.042951541850220265,0.808407447427479
['frozen_vegetables'],['frankfurter'],0.0010693042839002875,0.03818615751789976,1.011291106089087
['frankfurter'],['frozen_vegetables'],0.0010693042839002875,0.02831858407079646,1.0112911060890868
['frankfurter'],['citrus_fruit'],0.0017376194613379669,0.04601769911504425,0.8661167696332164
['citrus_fruit'],['frankfurter'],0.0017376194613379669,0.03270440251572327,0.8661167696332165
['frozen_vegetables'],['bottled_water'],0.0010693042839002875,0.03818615751789976,0.6292725494937601
['bottled_water'],['frozen_vegetables'],0.0010693042839002875,0.01762114537444934,0.6292725494937601
['salty_snack'],['sausage'],0.0011361358016440553,0.060498220640569395,1.0024749451216388
['sausage'],['salty_snack'],0.0011361358016440553,0.018826135105204873,1.002474945121639
['butter_milk'],['other_vegetables'],0.0012697988371315912,0.07224334600760456,0.5916678633343114
['other_vegetables'],['butter_milk'],0.0012697988371315912,0.010399562123700055,0.5916678633343114
['whole_milk'],['hygiene_articles'],0.0017376194613379669,0.011002962336013541,0.8031089045549786
['hygiene_articles'],['whole_milk'],0.0017376194613379669,0.12682926829268293,0.8031089045549787
['coffee'],['pip_fruit'],0.0010693042839002875,0.03382663847780127,0.6895749203587743
['pip_fruit'],['coffee'],0.0010693042839002875,0.021798365122615803,0.6895749203587743
['pastry'],['rolls/buns'],0.00394305954688231,0.07622739018087855,0.6929468039346816
['rolls/buns'],['pastry'],0.00394305954688231,0.035844471445929525,0.6929468039346816
['domestic_eggs'],['brown_bread'],0.0012029673193878234,0.032432432432432434,0.8619653401180933
['brown_bread'],['domestic_eggs'],0.0012029673193878234,0.03197158081705151,0.8619653401180932
['brown_bread'],['tropical_fruit'],0.0014702933903628951,0.03907637655417407,0.5766270437673636
['tropical_fruit'],['brown_bread'],0.0014702933903628951,0.021696252465483234,0.5766270437673635
['yogurt'],['UHT-milk'],0.0011361358016440553,0.013229571984435798,0.6186065175097276
['UHT-milk'],['yogurt'],0.0011361358016440553,0.053125,0.6186065175097276
['soda'],['butter'],0.003141081333957094,0.03234686854783207,0.9184178255810461
['butter'],['soda'],0.003141081333957094,0.08918406072106262,0.9184178255810462
['long_life_bakery_product'],['rolls/buns'],0.001670787943594199,0.09328358208955224,0.8479964998821204
['rolls/buns'],['long_life_bakery_product'],0.001670787943594199,0.015188335358444714,0.8479964998821203
['grapes'],['other_vegetables'],0.001603956425850431,0.1111111111111111,0.9099920939001398
['other_vegetables'],['grapes'],0.001603956425850431,0.013136288998357963,0.9099920939001398
['bottled_water'],['rolls/buns'],0.004678206242063757,0.07709251101321586,0.7008112043078669
['rolls/buns'],['bottled_water'],0.004678206242063757,0.0425273390036452,0.7008112043078668
['domestic_eggs'],['tropical_fruit'],0.002138608567800575,0.05765765765765766,0.8508200508200509
['tropical_fruit'],['domestic_eggs'],0.002138608567800575,0.03155818540433925,0.850820050820051
['soft_cheese'],['whole_milk'],0.0012029673193878234,0.12,0.7598645789250953
['frankfurter'],['whipped/sour_cream'],0.0014702933903628951,0.03893805309734513,0.8908716949473627
['whipped/sour_cream'],['frankfurter'],0.0014702933903628951,0.03363914373088685,0.8908716949473627
['soda'],['bottled_water'],0.0048118692775512934,0.04955264969029594,0.8165818252377733
['bottled_water'],['soda'],0.0048118692775512934,0.07929515418502203,0.8165818252377735
['whole_milk'],['frozen_meals'],0.0019381140145692708,0.012272534913245875,0.7316093223382392
['frozen_meals'],['whole_milk'],0.0019381140145692708,0.11553784860557768,0.7316093223382392
['tropical_fruit'],['white_bread'],0.0010024727661565194,0.014792899408284023,0.616563102635526
['white_bread'],['tropical_fruit'],0.0010024727661565194,0.04178272980501393,0.616563102635526
['soda'],['hamburger_meat'],0.001670787943594199,0.017205781142463867,0.7873091842039354
['hamburger_meat'],['soda'],0.001670787943594199,0.0764525993883792,0.7873091842039354
['hygiene_articles'],['rolls/buns'],0.0013366303548753592,0.0975609756097561,0.8868802418279348
['rolls/buns'],['hygiene_articles'],0.0013366303548753592,0.012150668286755772,0.8868802418279347
['chicken'],['shopping_bags'],0.0012697988371315912,0.045563549160671464,0.9575384636111336
['shopping_bags'],['chicken'],0.0012697988371315912,0.026685393258426966,0.9575384636111336
['beef'],['tropical_fruit'],0.0011361358016440553,0.03346456692913386,0.49381687865939844
['tropical_fruit'],['beef'],0.0011361358016440553,0.016765285996055226,0.49381687865939833
['sausage'],['fruit/vegetable_juice'],0.001804450979081735,0.029900332225913623,0.8789757781853548
['fruit/vegetable_juice'],['sausage'],0.001804450979081735,0.05304518664047151,0.8789757781853546
['coffee'],['frankfurter'],0.0014702933903628951,0.046511627906976744,1.231776085614324
['frankfurter'],['coffee'],0.0014702933903628951,0.03893805309734513,1.2317760856143238
['butter_milk'],['shopping_bags'],0.0010024727661565194,0.057034220532319393,1.1985997778442348
['shopping_bags'],['butter_milk'],0.0010024727661565194,0.021067415730337078,1.1985997778442345
['chocolate'],['citrus_fruit'],0.0010693042839002875,0.0453257790368272,0.8530938763874785
['citrus_fruit'],['chocolate'],0.0010693042839002875,0.02012578616352201,0.8530938763874784
['long_life_bakery_product'],['sausage'],0.0010693042839002875,0.05970149253731343,0.9892729045800895
['sausage'],['long_life_bakery_product'],0.0010693042839002875,0.017718715393133997,0.9892729045800895
['soda'],['citrus_fruit'],0.003742564993651006,0.038540949759119064,0.7253940015669164
['citrus_fruit'],['soda'],0.003742564993651006,0.07044025157232704,0.7253940015669165
['long_life_bakery_product'],['other_vegetables'],0.0011361358016440553,0.06343283582089553,0.5195104118161247
['hard_cheese'],['pip_fruit'],0.0010693042839002875,0.07272727272727272,1.4825860787713647
['pip_fruit'],['hard_cheese'],0.0010693042839002875,0.021798365122615803,1.482586078771365
['sugar'],['tropical_fruit'],0.0010024727661565194,0.05660377358490566,0.835268505079826
